"target","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla"
0,0,1,2,8,9.8,60.8,6.238,578,105,170,50
1.9,1,1,2,8.35,8,57.75,1288,370,428.75,558.75,1.3
0,2,1,2,8.1,11.4,40.02,5.33,346.66699,125667,187.05701,15.6
0,1,1,2,8.07,4.8,77.364,2302,98182,61.182,138.7,1.4
0,2,1,2,8.06,9,55.35,10.416,233.7,58222,97.58,10.5
0,0,1,3,8.25,13.1,65.75,9248,430,18.25,56667,28.4
3.9,3,1,3,8.15,10.3,73.25,1535,110,61.25,111.75,3.2
0,2,1,3,8.05,10.6,59067,4.99,205.66701,44667,77434,6.9
0,0,1,2,8.7,3.4,21.95,0.886,102.75,36.3,71,5544
2.9,0,1,3,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8
0,1,1,3,7.7,10.2,8,1527,21.571,12.75,20.75,0.8
0,3,1,3,7.45,11.7,8.69,1588,18.429,10667,19,0.6
0,0,1,3,7.74,9.6,5,1.223,27.286,12,17,41
0,3,1,3,7.72,11.8,6.3,1.47,8,16,15,0.5
0,0,1,3,7.9,9.6,3,1.448,46.2,13,61.6,0.3
0,2,1,3,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
1.2,0,1,3,7.78,12,7,1.42,34333,18667,50,1.1
4.8,1,1,3,7.61,9.8,7,1443,31.333,20,57833,0.4
4.3,3,1,3,7.35,10.4,7,1.718,49,41.5,61.5,0.8
44.6,1,1,2,7.79,3.2,64,2822,8777.59961,564.59998,771.59998,4.5
6.8,0,1,2,7.83,10.7,88,4825,1729,467.5,586,16
2.3,1,1,3,7.2,9.2,0.8,642,81,15.6,18,0.5
0,2,1,3,7.75,10.3,32.92,2.942,42,16,40,7.6
3.7,0,1,3,7.62,8.5,11867,1715,208.33299,3,27.5,1.7
3.5,1,1,3,7.84,9.4,10975,1.51,12.5,3,11.5,1.5
0,3,1,3,7.77,10.7,12536,3.976,58.5,9,44136,3
4.9,0,1,3,7.09,8.4,10.5,1.572,28,4,13.6,0.5
0,2,1,3,6.8,11.1,9,0.63,20,4,15.3573268472903,2.7
0,0,1,3,8,9.8,16,0.73,20,26,45,0.8
0,1,1,3,7.2,11.3,9,0.23,120,12,19,0.5
0,2,1,3,7.4,12.5,13,3.33,60,72,142,4.9
0,0,1,3,8.1,10.3,26,3.78,60,246,304,2.8
0,3,1,3,7.8,11.3,20083,3.02,49.5,53,130.75,5.8
0,2,1,2,8.4,9.9,34.5,2818,3515,20,47,2.3
0,0,1,2,8.27,7.8,29.2,0.05,6400,7.4,23,0.9
0,3,1,2,8.66,8.4,30.523,3444,1911,58875,84.46,3.6
0,0,1,3,8.3,10.9,1.17,735,13.5,1625,3,0.2
0,1,1,3,8,10.4664624599572,1.45,0.81,10,2.5,3,0.3
2.2,0,1,2,8.3,8.9,20625,3.414,228.75,196.62,253.25,12.32
3.7,1,1,2,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8957
1.7,0,1,2,8,5.5,77,6096,122.85,143.71001,296,3.7
5.7,3,1,2,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2
0,0,1,3,8.3,7.7,50,8543,76,264.89999,344.60001,22.5
0,1,1,3,8.3,8.8,54143,7.83,51.429,276.85001,326.85699,11.84
0,0,1,3,8.4,13.4,69.75,4555,37.5,10,40667,3.9
3.2,1,1,3,8.3,12.5,87,4.87,22.5,27,43.5,3.3
0,2,1,3,8,12.1,66.3,4535,39,16,39,0.8
0,0,1,1,7.792468286019,12.6,9,0.23,10,5,6,1.1
0,1,1,2,7.6,9.6,15,3.02,40,27,121,2.8
2.5,2,1,2,7.29,11.21,17.75,3.07,35,13,20.812,12.1
4.6,0,1,2,7.6,10.2,32.3,4508,192.5,12.75,49333,7.9
2.2,3,1,2,8,7.9,27233,1651,28.333,7.3,22.9,4.5
0,0,1,3,7.9,11,6.167,1172,18333,7.75,11.8,0.5
2.4,1,1,3,7.9,9,5273,0.91,33.636,9,11818,0.8
0,0,1,3,6.6,10.8,6.08109020481913,3245,10,1,6.5,4.2182012053469
0,1,1,2,5.6,11.8,7.64098570361906,2.22,5,1,1,1.07214792040487
11.5,2,1,2,5.7,10.8,11.8851652911578,2.55,10,1,4,3.0675788346012
28.8,1,1,3,6.6,9.5,20.0574612976049,1.32,20,1,6,6.02909288669881
13.4,3,1,3,6.6,10.8,7.07766148318143,2.64,10,2,11,0.798298822299477
0,2,1,2,6.6,11.3,9.98538571882485,4.17,10,1,6,2.51049422566279
0,1,1,2,6.5,10.4,9.73472760143737,5.97,10,2,14,4.23340112158487
0,2,1,3,7.83,11.7,4083,1328,18,3333,6.667,1.04416870664555
0,1,1,3,7.57,10.8,4575,1203,27.5,2,6.75,1
0,3,1,3,7.19,11.7,4.326,1474,160,2.5,7.2,0.3
1.4,0,1,3,7.44,10.1,2.933,0.77,15,1.333,6,0.6
2.2,1,1,3,7.14,9.8,3275,0.923,15,1.25,10.75,2.5
0,3,1,3,7,12.1,3136,1208,16.2,1.8,2.5,0.5
7.6,0,1,2,7.5,1.5,32.4,0.921,1386.25,220.75,351.60001,10
3,1,1,2,7.5,1.8,29775,1051,2082.8501,209.85699,313.60001,1
11,3,1,2,7.8,7.1,32.54,1.72,2167.37012,151125,279.06601,13.1
2.2,2,2,2,8.5,8.1,38125,3.85,225,45,152.33299,5.2
0,3,2,2,7925,10.2,34037,9.08,109,55,58.623,11.6
4.6,0,2,2,8.1,8.1,136,3773,245,136.75,249.25,20.87
3.7,1,2,2,8.2,6.8,129375,3.316,271.25,100,233.5,13
1,1,2,3,9.1,9.4,35.75,5164,32.5,85.5,215.5,18.37
1,2,2,2,8.1,9.8,29.5,1287,224.286,25.167,102333,3.6
3.4,0,2,2,8,5.9,27.4,735,133636,36,105727,3
11.3,1,2,2,8,3.3,26.76,0.658,165,37375,111375,3
3.4,0,2,3,7.5,9.2,11,3.31,101,26.6,108,1.3
4.6,1,2,3,7.4,9.8,11,3235,255,38.75,56667,2
0,2,2,3,7.3,11.7,10.4,4.93,130,10.8,60,4.3
1,0,2,3,7.4,8.9,13.5,5442,123333,27.667,104,21
0,3,2,3,7.4,11.17,12.146,6188,89.6,32,69.93,3.1
5,2,2,2,7.5,10.8,31,4408,737.5,111.25,214,2.9
4.6,0,2,2,7.6,6,53,3734,914,137.60001,254.60001,4.3
2.6,3,2,2,7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2
2.4,0,2,2,7.8,3.6,48667,4.03,5738.33008,412.33301,607.16699,4.3
1,3,2,2,7.6,9.7,53102,7.16,4073.33008,282.16699,624.73297,6.8
0,0,2,2,8.5,8.6,125.6,3778,124167,197.83299,303.33301,40
0,1,2,2,8.7,9.4,173.75,3318,101.25,267.75,391.75,3.5
0,3,2,2,8.1,10.7,94405,4698,153,191.75,265.25,7.3
1.7,0,2,3,8.8,8.5,53333,5.132,96667,120.5,232.83299,31
1.6,1,2,3,7.8,10.5,70,2443,98333,144.66701,244,9
0,3,2,3,7.9,11.8,63.51,4.94,137,159.5,218,6.5
4.4,2,2,1,8.5,10.5,56717,0.33,215.714,23,138.5,20829
0,0,2,1,9.1,5.4,61.05,308,105556,104.222,239,72.478
0,1,2,1,8.9,4.5,57.75,267,155,97333,235.66701,98.817
6.8,0,2,3,7.9,6.3,101875,3978,153.75,51.75,205875,2
1.2,3,2,3,7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9
3.5,0,2,2,7.7,7.1,63625,3.14,122.5,28625,186.5,30
4.3,1,2,2,7.8,6.5,82111,2603,215.556,12.889,154125,5.2
6.6,0,2,1,7.7,5.3,65333,2.899,371.11099,51.111,183.66701,17.2
5.3,3,2,1,7.5,8.8,58331,8.688,758.75,104.5,292625,3
1.4,2,2,1,7.6,10,49625,5456,308.75,38625,285.71399,75
0,0,2,1,8.7,7.4,47778,2316,38111,24.667,201778,3
0,3,2,1,7.7,11.1,47229,8759,239,54,275.14301,65.7
1.7,2,2,3,8.3,11.1,41.5,4665,931.83301,39,124.2,13.1
12.7,0,2,3,8.43,6,40167,2.67,723.66699,60833,141.83299,25
0,3,2,3,8.16,11.1,32056,5694,461875,71,132.54601,15
0,0,2,3,8.7,9.8,5.889,1534,51.111,9667,17333,1
0,1,2,3,8.2,11.3,7.25,1875,25,6.5,26,0.3
0,3,2,3,8.5,11.8,7.838,1732,206.53799,8692,16662,2.1
2.1,1,2,2,7.8,6,53425,381,118571,37857,102571,1.2
0,3,2,2,8,9.7,57848,461,217.75,37,86.997,3
0,0,2,3,9.7,10.8,222,406,10,22.444,10111,3.27806843721018
0,3,2,3,8.6,11.62,1.549,445,25.833,16833,18293,1.4
0,2,2,2,8.3,11.6,5.83,701,12727,3545,13.2,3.2
0,1,2,1,8.4,5.3,74667,3.9,131.66701,261.60001,432909,24.917
0,3,2,1,8.2,6.6,131.39999,4188,92,238.2,320.39999,6.8
0,0,2,2,8.2,9.4,45273,7195,345.45499,144,287,9882
0,1,2,2,8.1,7.1,42636,5078,56364,166.72701,262.72699,17.2
0,3,2,2,8.1,9,48.429,6.64,128571,181,222.286,6.429
1.9,0,2,3,7.4,10.7,11818,2.163,170.909,36909,122,5555
2.6,1,2,3,8.3,9.7,10556,1921,65556,61.556,127.222,5233
1.9,3,2,3,8.6,10.7,12,2231,43.75,62625,89625,2.15
0,0,2,2,9.1,11.6,31.091,5099,246364,55,284,88255
0,1,2,2,9,6.9,28.333,2.954,76667,102333,277.33301,110456
4.1,3,2,2,8.3,10,30125,3.726,102.5,75875,177625,50225
1.9,0,2,3,8.5,10.1,10936,1335,236,34.636,72.9,11.1
2.1,1,2,3,8.3,7.7,10078,1212,103333,48667,82444,2
0,3,2,3,7.3,10.5,11088,1374,92375,48625,66.75,3.3
0,0,2,2,7.9,9.8,194.75,6513,3466.65991,23,173.75,15.3
8.3,1,2,2,7.9,8.3,391.5,6045,380,173,317,5.5
0,2,2,2,8,11.9,130.67,6.54,196,75,84,4.5
0,1,2,2,8,9.2,39,4.86,120,187,213,2
0,2,2,2,8.1,11.7,35.66,5.13,46.5,49,88.5,2.5
1.3,0,2,1,8.43,9.9,37.6,826,124,32.5,115,11.7
4,3,2,1,8.1,6.2,39,0.673,112.857,60,98.143,2
0,0,2,2,7.9,11.2,49.9,9773,505,67.5,143.75,5.45
0,3,2,2,8.1,6.2,51113,5099,175,132.5,197.14301,6.4
5,1,2,3,7.8,9.5,8.3,1.67,34,16.8,35.2,1
1,2,2,3,7.9,10.5,10207,2.304,132.25,10583,23485,2
6.2,0,2,1,8,4.5,79077,8984,920,70,200231,19.4
0,1,2,1,7.6,6.3,81333,9715,196.66701,77333,147.83299,3
7.7,2,2,1,7.8,6.5,64093,7.74,1990.16003,47.5,276,8.1
1.1,0,2,3,8.22,8.1,41.25,1415,172.5,46667,123333,30.4
3.5,2,2,3,8.3,9.9,40226,1587,235,33.8,75207,23.8
1.4,0,2,3,8.47,9,46167,2102,84667,48,116.2,7.3
0,1,2,3,8.4,4.9,47,536,91833,109,188.66701,32
0,2,2,3,8.87,11,41.163,2273,54.75,39,72696,22.7
1.2,3,2,3,7.7,4.4,53,2.31,90,22.2,116.2,16
1.2,2,2,3,7.3,11.8,44205,45.65,24064,44,34,53.1
1.8,1,2,2,7.9,6,127833,2.68,176.66701,27.5,76333,2.1
1.2,2,2,2,7.8,10.53,100.83,5.41,486.5,24,58.374,27.5
6.9,1,3,1,7.8,3.2,94,4908,1131.66003,175.66701,361,28.567
5,3,3,1,7.6,4.9,69,3685,1495,234.5,236,22.5
0,1,3,1,8.6,3.6,50,376,134,54.1,125.8,26.8
0,2,3,1,8.4,10.6,19.22,1655,96833,20.667,54.916,20.6
0,0,3,1,8.3,11.5,26,1.87,62.5,30.75,75333,34.75
2.2,1,3,1,9,5.8,70.3623993111891,0.9,142,102,186,68.05
0,1,3,1,9.5,5.7,44,102,146.66701,151.33299,252.5,93.683
0,3,3,1,8.8,8.8,43,0.13,103333,180.66701,269.66699,92667
0,2,3,1,8.84,12.9,43.09,846,52.2,8.6,46438,81.54
2.4,0,3,3,7.3,9.9,16,4.82,101667,14667,85,2
0,2,3,3,7.4,10.68,22.35,5414,244.60001,66.4,171.272,3.8
0,1,3,1,9.1,4.3,82.857,0.86,137.27299,102.364,232.89999,54367
0,2,3,1,8.53,11.1,63292,1726,227.60001,84.3,146452,21.22
1.2,0,3,1,8.56,8.7,43.97,4053,643,221.89999,246.66701,14.7
0,2,3,1,8.06,8.3,38902,3678,627.27301,205636,219.909,6209
2,0,3,2,8.24,6.1,95367,3.561,1168,236.39999,272.22198,20.578
2.7,3,3,2,7.91,6.2,151.83299,3923,1081.66003,346.16699,388.16699,5083
2.2,0,3,2,8.21,9.3,104818,3908,124.364,82.222,167.89999,5609
4,1,3,2,8.5,7.3,71444,2512,66667,64389,137778,9384
0,1,3,2,8.6,10.6,208364,4459,197.909,87333,194.10001,27.618
0,0,3,2,9.06,6.35,187183,3.351,54778,159.16701,221278,20.8
0,2,3,3,8.7,10.7,4545,941,32727,16,21.3,1.1
0,1,3,3,8.1,10.7,3.5,1013,12.5,12.75,11,0.6
0,3,3,3,8.4,10.29,5.326,996,53.846,7.667,14.354,0.8
0,1,3,2,8.6,10.1,2.111,0.663,11.111,3222,7,1.3
0,3,3,2,8.2,9.5,2.2,672,10,3.8,6.2,0.8
0,0,3,2,8.5,10.5,2.75,758,10.5,4,7654,4
0,3,3,2,8.3,10,3.86,866,32,6,16,2.86
0,0,3,3,8,10.9,9055,825,40,21.083,56091,14.2709612249009
0,3,3,3,8.1,10.2,7.613,0.699,32.5,26625,52875,2
0,0,3,1,8.7,10.8,39109,6225,161.81799,104727,228364,46075
0,0,3,1,8.7,11.7,22455,3765,88182,41.3,85.4,17491
0,3,3,1,8.4,8.2,23.25,2805,43.75,51125,87125,14775
0,2,3,1,8.55,11,22.32,3.14,82.1,45.9,101455,18.33
1.7,1,3,2,8.5,7.6,12.778,1.873,17778,50.889,127,24.556
0,2,3,2,8.7,11.4,15.541,2323,103,34.5,81558,5.62
0,0,3,2,8.4,10.5,12182,1.519,65455,19727,50455,8155
0,1,3,2,8.2,8.2,7.333,1003,37778,19111,120889,5.111
0,2,3,2,8.58,11.1,23825,3617,72.6,51.111,91111,22.9
0,3,3,2,8.5,7.9,12444,2.586,96667,19111,61.444,6.167
0,2,3,2,8.4,8.4,17375,3833,83.75,53625,79.75,2338
0,1,3,2,8.3,10.6,14.32,3.2,125333,35333,75904,4667
1,2,3,2,8.2,7,139989,2978,60.11,78333,140.22,31.738
7.8,3,3,2,8.5,6.7,82852,2.8,27.069,64,140517,18.3
