target,Numeric Degree,TechUGCourses,TechGCourses,MgmtUGCourses,MgmtGCourses,Total Workshops,Total Conferences,TotalLangExp,Hardware Proj Mgmt Exp,Software Proj Mgmt Exp,No Of Hardware Proj Estimated,No Of Software Proj Estimated,Domain Exp,Procurement Industry Exp
0.897020854,2.0,0.0,3.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,5.0,0.0,0.0
0.895233366,3.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.891261172,3.0,21.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
0.88877855,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.88877855,3.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.885402185,4.0,4.0,1.0,0.0,1.0,2.0,4.0,1.5,3.0,1.0,3.0,0.0,0.0,0.0
0.86693148,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.25,0.0,0.0,0.0,1.0,0.0,0.0
0.856007944,3.0,9.0,2.0,1.0,1.0,1.0,6.0,-8.0,0.0,2.0,0.0,6.0,4.0,1.5
0.85203575,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.834160874,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.828202582,3.0,26.0,0.0,1.0,0.0,11.0,0.0,18.0,7.0,4.0,2.0,4.0,0.0,0.0
0.820258193,2.0,0.0,20.0,0.0,0.0,0.0,1.0,9.5,0.0,2.0,0.0,10.0,0.0,0.0
0.815292949,3.0,72.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.795431976,3.0,27.0,27.0,5.0,5.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,1.0,0.0
0.779116187,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,0.0
0.776564052,4.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
0.765640516,4.0,6.0,8.0,6.0,3.0,6.0,11.0,11.5,2.25,2.25,4.0,5.0,2.0,2.0
0.757696127,3.0,25.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
0.752730884,3.0,2.0,0.0,2.0,0.0,3.5,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0
0.72591857,3.0,2.0,0.0,0.0,0.0,13.0,22.0,13.0,0.0,4.0,0.0,10.0,0.0,0.0
0.724428997,4.0,3.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
0.721946375,3.0,15.0,0.0,11.0,6.0,17.0,9.0,4.25,6.75,5.5,3.0,7.0,7.0,7.0
0.709036743,3.0,27.0,3.0,0.0,0.0,2.0,2.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
0.695134062,4.0,7.0,13.0,3.0,5.0,0.0,0.0,9.0,5.0,6.0,5.0,4.0,4.0,4.0
0.692154916,3.0,20.0,8.0,0.0,3.0,7.0,10.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.15590864,3.0,17.0,2.0,5.0,0.0,0.0,0.0,31.75,0.25,0.25,1.0,1.0,0.0,0.0
0.148957299,3.0,0.0,26.0,0.0,0.0,2.0,4.0,8.75,0.0,0.0,0.0,3.0,0.0,0.0
0.145978153,3.0,7.0,0.0,3.0,0.0,5.0,5.0,16.0,0.5,4.0,2.0,10.0,1.0,0.0
0.14101291,3.0,7.0,0.0,2.0,1.0,14.0,23.0,20.0,0.0,9.0,0.0,6.0,3.0,2.0
0.139026812,5.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,5.0,5.0,5.0,10.0,1.0,0.5
0.11817279,3.0,15.0,8.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.117179742,3.0,10.0,0.0,0.0,0.0,7.0,0.0,7.25,0.0,1.75,0.0,2.0,0.0,0.0
0.100297915,4.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.5,0.0,1.0,0.0,0.0
0.090367428,4.0,0.0,2.0,0.0,2.0,2.0,23.0,13.5,2.0,6.0,5.0,20.0,2.0,2.0
0.076464747,3.0,17.0,4.0,1.0,2.0,0.0,0.0,27.5,0.0,0.0,0.0,1.0,0.0,0.0
0.070506455,3.0,0.0,5.0,0.0,3.0,0.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
0.056603774,3.0,13.0,0.0,0.0,0.0,8.0,0.0,17.0,5.0,2.0,5.0,2.0,0.0,0.0
0.046673287,3.0,19.0,5.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.046673287,3.0,5.0,0.0,0.0,4.0,2.0,0.0,4.25,1.0,0.0,9.0,6.0,2.0,4.0
0.007944389,3.0,49.0,0.0,1.0,0.0,1.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
0.007944389,3.0,6.0,0.0,5.0,0.0,85.0,0.0,0.0,5.0,10.0,5.0,20.0,1.0,0.0
0.016881827,3.0,0.0,9.0,0.0,3.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0367428,3.0,21.0,30.0,6.0,6.0,0.0,5.0,6.0,0.0,2.0,0.0,8.0,1.0,0.0
0.040714995,4.0,0.0,1.0,0.0,0.0,1.0,1.0,10.5,0.0,3.25,0.0,5.0,0.5,0.0
0.048659384,4.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
0.049652433,3.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
0.054617676,3.0,47.0,11.0,2.0,1.0,2.0,1.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0
0.088381331,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
0.092353525,3.0,10.0,3.0,1.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0
0.112214499,4.0,0.0,1.0,2.0,3.0,1.0,0.0,11.0,0.0,4.0,0.0,3.0,1.0,0.0
2.048659384,2.0,0.0,0.0,6.0,0.0,12.0,5.0,0.0,25.0,0.0,12.0,0.0,2.0,0.0
2.286991063,3.0,44.0,11.0,2.0,1.0,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
2.298907646,3.0,16.0,0.0,4.0,0.0,7.0,0.0,0.0,15.0,15.0,25.0,25.0,0.75,12.0
2.371400199,4.0,36.0,6.0,12.0,12.0,19.0,21.0,40.0,7.0,10.0,20.0,25.0,3.0,5.0
2.610724926,3.0,25.0,9.0,0.0,1.0,0.0,0.0,10.0,0.0,3.5,0.0,6.0,0.0,0.0
2.747765641,4.0,0.0,3.0,0.0,1.0,0.0,0.0,6.25,0.0,1.25,0.0,3.0,0.0,0.0
2.793445879,3.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,9.0,0.0,0.0
2.889771599,3.0,1.0,6.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2.932472691,3.0,12.0,2.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2.947368421,3.0,-2.0,0.0,0.0,0.0,2.0,0.0,4.5,0.0,0.0,0.0,3.0,0.0,0.0
2.972194638,3.0,32.0,0.0,4.0,0.0,2.0,0.0,2.75,0.0,0.0,0.0,3.0,0.0,0.5
3.17775571,4.0,17.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0
3.289970209,3.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
3.791459782,3.0,11.0,4.0,0.0,2.0,3.0,0.0,17.0,0.0,0.25,0.0,2.0,0.0,0.0
4.863952334,3.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.266137041,3.0,41.0,14.0,1.0,2.0,4.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0
5.444885799,3.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0
5.623634558,4.0,0.0,20.0,0.0,3.0,0.0,10.0,19.0,1.0,0.0,4.0,1.0,0.0,0.0
5.936444886,3.0,4.0,10.0,0.0,3.0,5.0,8.0,14.5,0.0,1.25,0.0,3.0,0.5,0.0
6.273088381,4.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,5.0,0.0,10.0,2.0,0.0
6.579940417,4.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,2.0
6.69612711,3.0,17.0,6.0,0.0,2.0,1.0,0.0,11.0,0.0,0.25,0.0,0.0,0.0,0.0
7.440913605,3.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9.084409136,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,6.0,7.0
9.765640516,3.0,8.0,5.0,5.0,3.0,5.0,0.0,0.0,15.0,0.0,5.0,0.0,2.0,0.0
